Acronym suggestion	Words used
NKVD	novel ; keyphrase ; dataset
KUNG	keyphrase ; novel ; generation
MANGE	multilingual ; automatic ; novel ; extraction
MANDÉ	multilingual ; automatic ; novel ; dataset
MANET	multilingual ; automatic ; novel ; extraction
MENANT	extracted from university theses ; multilingual ; extraction ; novel ; automatic
SEDAN	automatic ; extracted from university theses ; dataset ; novel
KAMEN	keyphrase ; multilingual ; extracted from university theses ; novel
MEUDON	multilingual ; extracted from university theses ; dataset ; extraction ; novel
DANEMARK	dataset ; extracted from university theses ; novel ; extraction ; multilingual ; automatic ; keyphrase
MANGENT	multilingual ; automatic ; extraction ; novel ; generation ; extracted from university theses
MANGER	extracted from university theses ; multilingual ; automatic ; novel ; generation
AGENDA	extracted from university theses ; automatic ; generation ; novel ; dataset
TANDEM	extracted from university theses ; novel ; dataset ; extraction ; multilingual
KURDE	keyphrase ; extracted from university theses ; dataset ; extraction
DONKEY	extracted from university theses ; extraction ; dataset ; novel ; keyphrase
GUNDAM	generation ; automatic ; novel ; dataset ; multilingual
GENDARME	extracted from university theses ; generation ; dataset ; automatic ; novel ; multilingual ; extraction
MÉLANGE	extracted from university theses ; multilingual ; automatic ; extraction ; novel ; generation
KENNY	keyphrase ; extracted from university theses ; extraction ; novel
GARDEN	generation ; automatic ; novel ; dataset ; extracted from university theses
DOGME	dataset ; extracted from university theses ; multilingual ; generation
MAKE	multilingual ; extracted from university theses ; keyphrase
ENGLAND	extracted from university theses ; generation ; automatic ; extraction ; novel ; dataset
MANFRED	multilingual ; automatic ; novel ; extracted from university theses ; extraction ; dataset
ADMET	automatic ; dataset ; multilingual ; extracted from university theses
TAKE	extracted from university theses ; automatic ; keyphrase
MONKEY	multilingual ; novel ; extracted from university theses ; keyphrase ; extraction
ENIGMA	extracted from university theses ; generation ; multilingual ; automatic ; extraction
AMENDE	automatic ; multilingual ; extracted from university theses ; dataset ; extraction
ROMANDE	extracted from university theses ; multilingual ; automatic ; novel ; dataset ; extraction
GECKO	generation ; keyphrase ; extracted from university theses ; extraction
