Acronym suggestion	Words used
AUDEN	automatic ; dataset ; extracted from university theses ; novel
KAREEM	keyphrase ; automatic ; extracted from university theses ; extraction ; multilingual
KEEGAN	keyphrase ; extracted from university theses ; extraction ; generation ; automatic
EKMAN	extracted from university theses ; keyphrase ; multilingual ; automatic ; novel
MANAGED	multilingual ; automatic ; novel ; generation ; extraction ; dataset
ENDGAME	extracted from university theses ; novel ; dataset ; generation ; multilingual ; extraction
MASKED	multilingual ; automatic ; keyphrase ; extraction ; dataset
GUNDAM	generation ; automatic ; novel ; dataset ; multilingual
DENMARK	dataset ; extracted from university theses ; multilingual ; automatic ; novel ; keyphrase
DENMARK	dataset ; extracted from university theses ; novel ; multilingual ; extraction ; keyphrase
KEEGAN	extracted from university theses ; keyphrase ; extraction ; generation ; novel
MENKEN	multilingual ; extracted from university theses ; keyphrase ; extraction ; novel
ENIGMA	extracted from university theses ; generation ; multilingual ; automatic ; extraction
